Type,Spanish,English,
word,Hola,Hello,
word,Manzana,Apple,
word,Bote,Boat,
word,Yo,I ,
word,Tú,You,
word,Sí,Yes,
word,No,No ,
word,él,he,
word,ella ,she,
word,Familia,Family,
word,Hijo,Son,
word,Hija,Daughter,
word,Amigo,Friend,
word,Niña,Girl,
word,Niño,Boy,
word,Hombre,Man,
word,Mujer,Woman,
word,Soleada,Sunny,
word,Nevada,Snowy,
word,Ventosa,Windy,
phrase,Buenos días,Good morning,
phrase,Buenas tardes ,Good afternoon,
phrase,Buenas noches ,Good evening / Good night,
phrase,¿Cómo te va? ,How’s it going?,
phrase,¿Qué haces? ,What are you doing?,
phrase,¿Qué pasa?,What’s happening?,
phrase,"Bien, gracias ","Good, thank you",
phrase,Muy bien,Very well,
phrase,¡Gracias! ,Thank you!,
phrase,¡Muchas gracias! ,Thank you very much!,
phrase,¡De nada! ,You’re welcome! / No problem!,
phrase,Por favor,Please,
phrase,¡Perdon! ,Excuse me!,
phrase,¿Que? ,What?,
phrase,¿Quién? ,Who?,
phrase,¿Cuándo? ,When?,
phrase,¿Dónde?,¿Where?,
phrase,¿Por qué?,Why?,
phrase,¿Cuál? ,Which?,
phrase,¿Cómo? ,How?,
phrase,¿Qué hora es? ,What time is it?,
phrase,¿De dónde viene?,Where are you from?,
phrase,¿Dónde vives? ,Where do you live?,
phrase,¿Puede ayudarme? ,Can you help me?,
phrase,¿Podría ayudarle? ,Can I help you?,
phrase,¿Cuánto cuesta eso?,How much does it cost?,
phrase,¿Entiende? ,Do you understand?,
phrase,Tal vez ,Maybe,
phrase,Claro,Of course,
word,puente ,bridge,
word,Ojo,eye,
phrase,Ojo,Watch yourself,
word,Consuegro,the father/mother of one's son/daughter-in-law,
word,Quedarse de piedra,To stay like a stone,
word,Estrenar,Using tool for the first time,
word,Ponerse las botas,Well-fed,
word,Empalagar,Too sugary food,
word,Antier,Day before yesterday,
word,Echar Los Perros,To scold someone,
word,Friolento,Person who is easier to get cold,
word,Madrugar,getting up early in the morning,
phrase,Buen provecho,to tell others enjoy their meal,
word,Pena Ajena,Express feeling of shame,
phrase,Te Queiro,I love you,
word,Verguenza Ajena,second-hand embarrassment,
phrase,Me siento de la patada,I feel like I'e been kicked,
phrase,Pude seguir con la sobremesa porque no tuve que trabajar por la tarde,I was able to continue chatting after dinner because I didn’t have to work in the afternoon.,
phrase,¡Qué aproveche!,Enjoy!,
phrase,Hay que aprovechar las oportunidades. ,You have to make the most of opportunities.,
phrase,Aprovecharon la ausencia del jefe. ,They took advantage of the boss’ absence.,
phrase,Se aprovechó de su ingenuidad. ,He took advantage of her naivety.,
phrase,Mi amiga viene a merendar esta tarde.,My friend is coming for tea this afternoon.,
phrase,Anoche el perro del vecino estaba ladrando toda la noche y estuve desvelada.,Last night the neighbours dogs was barking all night and I couldn’t sleep.,
word,Tener ganas de,To feel like,
word ,Enmadrarse,To become overly attached to one's mother,
word,Tocayo,name twin,
phrase,Hablar Sin Pelos En La Lengua,To speak frankly,
phrase,Dar Calabazas,Stand someone up on a date,
phrase,Por Si Las Moscas,Just in case,
phrase,Dar Papaya,Be careful,
